tourney_date,surface,tourney_level,round,best_of,player_id,player_name,player_age,player_ht,player_hand,player_rank,player_rank_points,opp_id,opp_name,opp_age,opp_ht,opp_hand,opp_rank,opp_rank_points,win
20240101,Hard,A,F,3,105777,Grigor Dimitrov,32.6,191.0,R,14.0,2570.0,208029,Holger Rune,20.6,188.0,R,8.0,3660.0,1
20240101,Hard,A,SF,3,208029,Holger Rune,20.6,188.0,R,8.0,3660.0,126128,Roman Safiullin,26.4,185.0,R,39.0,1122.0,1
20240101,Hard,A,SF,3,105777,Grigor Dimitrov,32.6,191.0,R,14.0,2570.0,111442,Jordan Thompson,29.7,183.0,R,55.0,902.0,1
20240101,Hard,A,QF,3,208029,Holger Rune,20.6,188.0,R,8.0,3660.0,105902,James Duckworth,31.9,183.0,R,116.0,573.0,1
20240101,Hard,A,QF,3,126128,Roman Safiullin,26.4,185.0,R,39.0,1122.0,208286,Matteo Arnaldi,22.8,185.0,R,44.0,1021.0,1
20240101,Hard,A,QF,3,111442,Jordan Thompson,29.7,183.0,R,55.0,902.0,104745,Rafael Nadal,37.5,185.0,L,672.0,45.0,1
20240101,Hard,A,QF,3,105777,Grigor Dimitrov,32.6,191.0,R,14.0,2570.0,208014,Rinky Hijikata,22.8,178.0,R,71.0,744.0,1
20240101,Hard,A,R16,3,208029,Holger Rune,20.6,188.0,R,8.0,3660.0,207686,Alexander Shevchenko,23.0,185.0,R,48.0,947.0,1
20240101,Hard,A,R16,3,105902,James Duckworth,31.9,183.0,R,116.0,573.0,105870,Yannick Hanfmann,32.1,193.0,R,51.0,914.0,1
20240101,Hard,A,R16,3,126128,Roman Safiullin,26.4,185.0,R,39.0,1122.0,200615,Alexei Popyrin,24.4,196.0,R,40.0,1084.0,1
20240101,Hard,A,R16,3,208286,Matteo Arnaldi,22.8,185.0,R,44.0,1021.0,127760,Lukas Klein,25.7,193.0,R,170.0,359.0,1
20240101,Hard,A,R16,3,104745,Rafael Nadal,37.5,185.0,L,672.0,45.0,106186,Jason Kubler,30.6,178.0,R,102.0,631.0,1
20240101,Hard,A,R16,3,111442,Jordan Thompson,29.7,183.0,R,55.0,902.0,200005,Ugo Humbert,25.5,188.0,L,20.0,1765.0,1
20240101,Hard,A,R16,3,208014,Rinky Hijikata,22.8,178.0,R,71.0,744.0,207830,Tomas Machac,23.2,183.0,R,78.0,722.0,1
20240101,Hard,A,R16,3,105777,Grigor Dimitrov,32.6,191.0,R,14.0,2570.0,127157,Daniel Altmaier,25.3,188.0,R,56.0,891.0,1
20240101,Hard,A,R32,3,208029,Holger Rune,20.6,188.0,R,8.0,3660.0,126845,Max Purcell,25.7,185.0,R,45.0,1012.0,1
20240101,Hard,A,R32,3,207686,Alexander Shevchenko,23.0,185.0,R,48.0,947.0,209414,Luca Van Assche,19.6,178.0,R,90.0,687.0,1
20240101,Hard,A,R32,3,105902,James Duckworth,31.9,183.0,R,116.0,573.0,200670,J J Wolf,25.0,183.0,R,53.0,910.0,1
20240101,Hard,A,R32,3,105870,Yannick Hanfmann,32.1,193.0,R,51.0,914.0,200624,Sebastian Korda,23.4,196.0,R,24.0,1530.0,1
20240101,Hard,A,R32,3,126128,Roman Safiullin,26.4,185.0,R,39.0,1122.0,210097,Ben Shelton,21.2,193.0,L,17.0,2145.0,1
20240101,Hard,A,R32,3,200615,Alexei Popyrin,24.4,196.0,R,40.0,1084.0,106331,Christopher Oconnell,29.5,183.0,R,68.0,780.0,1
20240101,Hard,A,R32,3,208286,Matteo Arnaldi,22.8,185.0,R,44.0,1021.0,105916,Marton Fucsovics,31.8,188.0,R,59.0,882.0,1
20240101,Hard,A,R32,3,127760,Lukas Klein,25.7,193.0,R,170.0,359.0,202104,Sebastian Baez,23.0,170.0,R,28.0,1435.0,1
20240101,Hard,A,R32,3,106186,Jason Kubler,30.6,178.0,R,102.0,631.0,106234,Aslan Karatsev,30.3,185.0,R,35.0,1193.0,1
20240101,Hard,A,R32,3,104745,Rafael Nadal,37.5,185.0,L,672.0,45.0,106233,Dominic Thiem,30.3,185.0,R,98.0,652.0,1
20240101,Hard,A,R32,3,111442,Jordan Thompson,29.7,183.0,R,55.0,902.0,126846,Aleksandar Vukic,27.7,188.0,R,62.0,835.0,1
20240101,Hard,A,R32,3,200005,Ugo Humbert,25.5,188.0,L,20.0,1765.0,210506,Alex Michelsen,19.3,193.0,R,97.0,653.0,1
20240101,Hard,A,R32,3,207830,Tomas Machac,23.2,183.0,R,78.0,722.0,144869,Tomas Martin Etcheverry,24.4,196.0,R,30.0,1375.0,1
20240101,Hard,A,R32,3,208014,Rinky Hijikata,22.8,178.0,R,71.0,744.0,106423,Thanasi Kokkinakis,27.7,193.0,R,65.0,802.0,1
20240101,Hard,A,R32,3,127157,Daniel Altmaier,25.3,188.0,R,56.0,891.0,111454,Li Tu,27.5,183.0,R,225.0,280.0,1
20240101,Hard,A,R32,3,105777,Grigor Dimitrov,32.6,191.0,R,14.0,2570.0,104918,Andy Murray,36.6,191.0,R,42.0,1050.0,1
20240101,Hard,A,F,3,100644,Alexander Zverev,26.6,198.0,R,7.0,3985.0,128034,Hubert Hurkacz,26.8,196.0,R,9.0,3245.0,1
20240101,Hard,A,SF,3,128034,Hubert Hurkacz,26.8,196.0,R,9.0,3245.0,105173,Adrian Mannarino,35.5,180.0,L,22.0,1755.0,1
20240101,Hard,A,SF,3,200282,Alex De Minaur,24.8,183.0,R,12.0,2740.0,100644,Alexander Zverev,26.6,198.0,R,7.0,3985.0,1
20240101,Hard,A,QF,3,128034,Hubert Hurkacz,26.8,196.0,R,9.0,3245.0,111190,Zhizhen Zhang,27.2,193.0,R,58.0,885.0,1
20240101,Hard,A,QF,3,134770,Casper Ruud,25.0,183.0,R,11.0,2825.0,105173,Adrian Mannarino,35.5,180.0,L,22.0,1755.0,1
20240101,Hard,A,QF,3,200282,Alex De Minaur,24.8,183.0,R,12.0,2740.0,104925,Novak Djokovic,36.6,188.0,R,1.0,11245.0,1
20240101,Hard,A,QF,3,100644,Alexander Zverev,26.6,198.0,R,7.0,3985.0,126774,Stefanos Tsitsipas,25.3,193.0,R,6.0,4235.0,1
20240101,Hard,A,RR,3,200221,Alejandro Davidovich Fokina,24.5,183.0,R,26.0,1495.0,128034,Hubert Hurkacz,26.8,196.0,R,9.0,3245.0,1
20240101,Hard,A,RR,3,128034,Hubert Hurkacz,26.8,196.0,R,9.0,3245.0,205734,Thiago Seyboth Wild,23.8,185.0,R,79.0,718.0,1
20240101,Hard,A,RR,3,200221,Alejandro Davidovich Fokina,24.5,183.0,R,26.0,1495.0,205734,Thiago Seyboth Wild,23.8,185.0,R,79.0,718.0,1
20240101,Hard,A,RR,3,126774,Stefanos Tsitsipas,25.3,193.0,R,6.0,4235.0,105731,Steven Diez,32.7,175.0,R,314.0,170.0,1
20240101,Hard,A,RR,3,111797,Nicolas Jarry,28.2,201.0,R,19.0,1810.0,208852,Stefanos Sakellaridis,19.2,196.0,R,416.0,113.0,1
20240101,Hard,A,RR,3,111797,Nicolas Jarry,28.2,201.0,R,19.0,1810.0,105731,Steven Diez,32.7,175.0,R,314.0,170.0,1
20240101,Hard,A,RR,3,126203,Taylor Fritz,26.1,196.0,R,10.0,3100.0,111815,Cameron Norrie,28.3,188.0,L,18.0,1940.0,1
20240101,Hard,A,RR,3,200282,Alex De Minaur,24.8,183.0,R,12.0,2740.0,126203,Taylor Fritz,26.1,196.0,R,10.0,3100.0,1
20240101,Hard,A,RR,3,111815,Cameron Norrie,28.3,188.0,L,18.0,1940.0,200282,Alex De Minaur,24.8,183.0,R,12.0,2740.0,1
20240101,Hard,A,RR,3,105173,Adrian Mannarino,35.5,180.0,L,22.0,1755.0,132283,Lorenzo Sonego,28.6,191.0,R,46.0,990.0,1
20240101,Hard,A,RR,3,100644,Alexander Zverev,26.6,198.0,R,7.0,3985.0,105173,Adrian Mannarino,35.5,180.0,L,22.0,1755.0,1
20240101,Hard,A,RR,3,100644,Alexander Zverev,26.6,198.0,R,7.0,3985.0,132283,Lorenzo Sonego,28.6,191.0,R,46.0,990.0,1
20240101,Hard,A,RR,3,111190,Zhizhen Zhang,27.2,193.0,R,58.0,885.0,208103,Jiri Lehecka,22.1,185.0,R,31.0,1372.0,1
20240101,Hard,A,RR,3,104925,Novak Djokovic,36.6,188.0,R,1.0,11245.0,208103,Jiri Lehecka,22.1,185.0,R,31.0,1372.0,1
20240101,Hard,A,RR,3,104925,Novak Djokovic,36.6,188.0,R,1.0,11245.0,111190,Zhizhen Zhang,27.2,193.0,R,58.0,885.0,1
20240101,Hard,A,RR,3,106432,Borna Coric,27.1,188.0,R,37.0,1135.0,134868,Tallon Griekspoor,27.4,188.0,R,23.0,1640.0,1
20240101,Hard,A,RR,3,134770,Casper Ruud,25.0,183.0,R,11.0,2825.0,106432,Borna Coric,27.1,188.0,R,37.0,1135.0,1
20240101,Hard,A,RR,3,134770,Casper Ruud,25.0,183.0,R,11.0,2825.0,134868,Tallon Griekspoor,27.4,188.0,R,23.0,1640.0,1
20240101,Hard,A,F,3,126094,Andrey Rublev,26.1,188.0,R,5.0,4805.0,200325,Emil Ruusuvuori,24.7,188.0,R,69.0,771.0,1
20240101,Hard,A,SF,3,126094,Andrey Rublev,26.1,188.0,R,5.0,4805.0,209992,Juncheng Shang,18.9,180.0,L,183.0,335.0,1
20240101,Hard,A,SF,3,200325,Emil Ruusuvuori,24.7,188.0,R,69.0,771.0,124116,Sebastian Ofner,27.6,191.0,R,43.0,1048.0,1
20240101,Hard,A,QF,3,126094,Andrey Rublev,26.1,188.0,R,5.0,4805.0,209950,Arthur Fils,19.5,185.0,R,36.0,1158.0,1
20240101,Hard,A,QF,3,209992,Juncheng Shang,18.9,180.0,L,183.0,335.0,126207,Frances Tiafoe,25.9,188.0,R,16.0,2310.0,1
20240101,Hard,A,QF,3,124116,Sebastian Ofner,27.6,191.0,R,43.0,1048.0,105138,Roberto Bautista Agut,35.7,183.0,R,57.0,886.0,1
20240101,Hard,A,QF,3,200325,Emil Ruusuvuori,24.7,188.0,R,69.0,771.0,200303,Pavel Kotov,25.1,191.0,R,67.0,791.0,1
20240101,Hard,A,R16,3,126094,Andrey Rublev,26.1,188.0,R,5.0,4805.0,106281,Liam Broady,29.9,183.0,L,108.0,608.0,1
20240101,Hard,A,R16,3,209950,Arthur Fils,19.5,185.0,R,36.0,1158.0,144817,Marc Andrea Huesler,27.5,196.0,L,194.0,312.0,1
20240101,Hard,A,R16,3,126207,Frances Tiafoe,25.9,188.0,R,16.0,2310.0,200175,Miomir Kecmanovic,24.3,183.0,R,54.0,905.0,1
20240101,Hard,A,R16,3,209992,Juncheng Shang,18.9,180.0,L,183.0,335.0,122298,Botic Van De Zandschulp,28.2,191.0,R,50.0,930.0,1
20240101,Hard,A,R16,3,124116,Sebastian Ofner,27.6,191.0,R,43.0,1048.0,105526,Jan Lennard Struff,33.6,193.0,R,25.0,1522.0,1
20240101,Hard,A,R16,3,105138,Roberto Bautista Agut,35.7,183.0,R,57.0,886.0,202103,Francisco Cerundolo,25.3,185.0,R,21.0,1760.0,1
20240101,Hard,A,R16,3,200303,Pavel Kotov,25.1,191.0,R,67.0,791.0,207518,Lorenzo Musetti,21.8,185.0,R,27.0,1470.0,1
20240101,Hard,A,R16,3,200325,Emil Ruusuvuori,24.7,188.0,R,69.0,771.0,111575,Karen Khachanov,27.6,198.0,R,15.0,2520.0,1
20240101,Hard,A,R32,3,106281,Liam Broady,29.9,183.0,L,108.0,608.0,106398,Pedro Cachin,28.7,185.0,R,70.0,763.0,1
20240101,Hard,A,R32,3,144817,Marc Andrea Huesler,27.5,196.0,L,194.0,312.0,126964,Vitaliy Sachko,26.4,188.0,R,169.0,360.0,1
20240101,Hard,A,R32,3,209950,Arthur Fils,19.5,185.0,R,36.0,1158.0,127339,Borna Gojo,25.8,196.0,R,72.0,744.0,1
20240101,Hard,A,R32,3,200175,Miomir Kecmanovic,24.3,183.0,R,54.0,905.0,106121,Taro Daniel,30.9,191.0,R,75.0,737.0,1
20240101,Hard,A,R32,3,122298,Botic Van De Zandschulp,28.2,191.0,R,50.0,930.0,208278,Shintaro Mochizuki,20.5,175.0,R,137.0,457.0,1
20240101,Hard,A,R32,3,209992,Juncheng Shang,18.9,180.0,L,183.0,335.0,111513,Laslo Djere,28.5,188.0,R,33.0,1285.0,1
